"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.15609533451098e-130,2.14445708373832,0.794,0.239,2.6582100026411e-126,"Endothelial","DOCK4"
3.57007181040771e-130,3.16468435002229,0.34,0.04,8.20866611367045e-126,"Endothelial","ARAP3"
5.55686019515934e-129,2.89345481792403,0.515,0.089,1.27768886467299e-124,"Endothelial","FNBP1L"
4.80767313801803e-121,3.83570528913571,0.282,0.027,1.10542828462449e-116,"Endothelial","RPH3AL"
5.98578851974849e-121,2.52907739992636,0.657,0.173,1.37631235434577e-116,"Endothelial","GRB10"
7.40874763176652e-118,3.13712201211897,0.468,0.079,1.70349334297208e-113,"Endothelial","CCSER1"
4.02814466989838e-116,3.17275251527493,0.404,0.056,9.26191303949735e-112,"Endothelial","PIK3C2B"
4.10068362606161e-116,3.55510917828911,0.253,0.021,9.42870186140346e-112,"Endothelial","MET"
1.40448979562179e-115,3.32218110110369,0.294,0.032,3.22934338707317e-111,"Endothelial","ICA1"
1.59067486069075e-113,3.2893725461584,0.372,0.053,3.65743870718625e-109,"Endothelial","SMAD1"
3.60694702708701e-113,3.65663966907894,0.256,0.02,8.29345329938116e-109,"Endothelial","TDRD10"
5.23459756066993e-110,2.35438073457263,0.61,0.159,1.20359101712484e-105,"Endothelial","PREX2"
2.03927979418715e-109,3.42178315553477,0.485,0.091,4.6889160307745e-105,"Endothelial","EGLN1"
6.88506472781117e-109,2.75962928607419,0.485,0.09,1.58308293286562e-104,"Endothelial","TMTC2"
3.15602529296935e-108,2.01015367204939,0.823,0.356,7.25664895612442e-104,"Endothelial","TCF4"
3.46927695738257e-108,3.6835327706344,0.299,0.035,7.97690850810973e-104,"Endothelial","STOX2"
8.46263025069422e-106,1.87326444412673,0.788,0.269,1.94581257354212e-101,"Endothelial","ELMO1"
1.51863864982459e-102,3.34953005117722,0.317,0.04,3.49180584754169e-98,"Endothelial","CHRM3"
7.81125267218119e-101,2.59342982584311,0.48,0.092,1.79604132691462e-96,"Endothelial","FGD5"
3.15104252953094e-98,2.35137327532111,0.581,0.151,7.2451920881505e-94,"Endothelial","KIAA1217"
2.31755693220842e-97,2.7328552662296,0.355,0.054,5.32875865422683e-93,"Endothelial","GALNT15"
3.10710038678983e-97,3.25362509558582,0.311,0.038,7.14415591934586e-93,"Endothelial","C10orf10"
1.04801284311742e-94,2.45905186919555,0.485,0.102,2.40969593017988e-90,"Endothelial","DOCK6"
9.09911048165158e-93,2.97420417227467,0.404,0.074,2.09215847304615e-88,"Endothelial","RYR3"
9.49358065108826e-93,4.08469833194579,0.262,0.027,2.18285899910472e-88,"Endothelial","VEGFC"
2.46515187550019e-92,2.54615911718035,0.483,0.105,5.66812370733759e-88,"Endothelial","RASGRF2"
1.86338260374374e-91,2.41069863046275,0.494,0.112,4.28447562078799e-87,"Endothelial","PLCG2"
1.01721264129459e-90,3.1911395279776,0.276,0.038,2.33887702612864e-86,"Endothelial","EFNB2"
3.99992075804498e-90,2.33582244502419,0.605,0.181,9.19701779897282e-86,"Endothelial","PITPNC1"
4.12520404398378e-89,2.93743590003846,0.422,0.081,9.4850816583319e-85,"Endothelial","NDRG1"
1.02314425430642e-87,2.46900945465536,0.541,0.137,2.35251558392675e-83,"Endothelial","ARHGEF3"
4.65110263794574e-87,3.06743785739729,0.375,0.064,1.06942802954286e-82,"Endothelial","ITGA6"
2.6711455847274e-83,2.23021765892743,0.64,0.239,6.14176504296372e-79,"Endothelial","BACE2"
6.51802935783612e-83,2.69166782485753,0.384,0.071,1.49869049024726e-78,"Endothelial","CACHD1"
1.39426513599083e-79,2.11849196143539,0.584,0.164,3.20583382718372e-75,"Endothelial","MLLT4"
4.77877108615896e-78,2.09905672038454,0.552,0.153,1.09878283584053e-73,"Endothelial","NXN"
8.58948489416871e-78,1.27262945611582,0.881,0.565,1.97498026171621e-73,"Endothelial","PTPRM"
9.88166579133837e-78,1.63073887977751,0.788,0.365,2.27209141540243e-73,"Endothelial","SASH1"
1.23479586366e-76,2.06624721765105,0.619,0.205,2.83916612931343e-72,"Endothelial","SEC14L1"
2.65367554625558e-76,2.23626905446137,0.517,0.153,6.10159618350545e-72,"Endothelial","PLCB4"
3.93578938569664e-76,2.82671421310832,0.337,0.063,9.04956053453229e-72,"Endothelial","STOM"
4.7075275489463e-76,2.35765660173111,0.363,0.068,1.08240180932922e-71,"Endothelial","ZNF423"
8.58334611527179e-76,2.20041451390535,0.555,0.167,1.97356877228444e-71,"Endothelial","PKP4"
1.10485173607201e-75,2.44761727252843,0.343,0.069,2.54038559675037e-71,"Endothelial","ATP8A1"
4.65769334581433e-74,2.21454214104018,0.506,0.144,1.07094343100309e-69,"Endothelial","ATP11A"
1.2834045178749e-73,1.84044968631566,0.578,0.172,2.95093200794975e-69,"Endothelial","FLI1"
1.97618779846468e-73,1.8265000177207,0.669,0.252,4.54384860500984e-69,"Endothelial","MKL2"
4.75577847375805e-73,2.44654851091572,0.485,0.139,1.09349614447119e-68,"Endothelial","RAPGEF5"
1.27393538954826e-72,2.33380330696445,0.392,0.086,2.92915964118831e-68,"Endothelial","PPP1R13B"
2.56180595420044e-71,1.95207733769646,0.552,0.178,5.89036043049308e-67,"Endothelial","RPS6KA2"
4.46168753710911e-71,2.04686229706909,0.474,0.131,1.0258758154075e-66,"Endothelial","TSPAN9"
4.75934646197773e-71,2.01440356515741,0.608,0.207,1.09431653200254e-66,"Endothelial","EPAS1"
1.0361302073509e-70,2.1145142396745,0.523,0.154,2.38237418576192e-66,"Endothelial","YBX3"
6.97806671782007e-69,2.72490435835799,0.34,0.068,1.60446688042837e-64,"Endothelial","SPRY1"
1.25204360741036e-67,1.80800730919026,0.581,0.186,2.87882386651864e-63,"Endothelial","CADPS2"
6.03190941046764e-67,2.49147914605821,0.378,0.076,1.38691693074883e-62,"Endothelial","EMP1"
2.23129838998135e-66,2.03924948407231,0.424,0.114,5.13042438808411e-62,"Endothelial","PARVB"
7.56405307727874e-66,1.69378087639764,0.698,0.326,1.7392027240587e-61,"Endothelial","WWTR1"
2.87449122271223e-65,1.90268576024418,0.631,0.234,6.60931766838223e-61,"Endothelial","APP"
6.47806300572022e-65,2.98586857111342,0.291,0.053,1.48950102690525e-60,"Endothelial","BMP6"
3.17978815084794e-63,2.43032338658296,0.384,0.086,7.31128689524467e-59,"Endothelial","SNRK"
