"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Endothelial","WDR1","disease_vs_control",2.24309027389122e-06,-2.34586948829344,0.069,0.205,0.0515753746675808,"Seurat_LR_cell_level_exploratory"
"Endothelial","FTO","disease_vs_control",2.36143368450725e-06,-1.09349675347619,0.378,0.513,0.0542964447078751,"Seurat_LR_cell_level_exploratory"
"Endothelial","CAV2","disease_vs_control",2.38159902007394e-06,-2.28243697368056,0.08,0.244,0.0547601062685601,"Seurat_LR_cell_level_exploratory"
"Endothelial","STX11","disease_vs_control",2.45620118327239e-06,-6.77108582844562,0,0.09,0.056475433806982,"Seurat_LR_cell_level_exploratory"
"Endothelial","TGFB1","disease_vs_control",2.52474158436359e-06,2.58671460394977,0.261,0.032,0.0580513832492721,"Seurat_LR_cell_level_exploratory"
"Endothelial","ARHGAP6","disease_vs_control",2.52720677092189e-06,4.36057410216054,0.197,0.013,0.0581080652838071,"Seurat_LR_cell_level_exploratory"
"Endothelial","SVEP1","disease_vs_control",2.5879891342497e-06,4.36106779480964,0.16,0.013,0.0595056341638034,"Seurat_LR_cell_level_exploratory"
"Endothelial","HLA-DQB1","disease_vs_control",2.59248139826435e-06,-1.89788775479638,0.048,0.212,0.0596089247902923,"Seurat_LR_cell_level_exploratory"
"Endothelial","MACROD1","disease_vs_control",2.61372554505942e-06,-2.19202216672274,0.048,0.173,0.0600973914575512,"Seurat_LR_cell_level_exploratory"
"Endothelial","PTGS2","disease_vs_control",2.92975802683222e-06,2.84345755522586,0.138,0.013,0.0673639263109532,"Seurat_LR_cell_level_exploratory"
"Endothelial","RP11-136K7.2","disease_vs_control",2.97137033305665e-06,-6.8542502653274,0,0.083,0.0683207180679715,"Seurat_LR_cell_level_exploratory"
"Endothelial","CYP1B1-AS1","disease_vs_control",3.00054653424276e-06,-1.93415510140077,0.112,0.276,0.0689915664618437,"Seurat_LR_cell_level_exploratory"
"Endothelial","EVA1C","disease_vs_control",3.03392709262202e-06,-0.950570106104981,0.452,0.628,0.0697590856406581,"Seurat_LR_cell_level_exploratory"
"Endothelial","HMGN3","disease_vs_control",3.03597987034938e-06,1.94418198792915,0.25,0.071,0.0698062851589433,"Seurat_LR_cell_level_exploratory"
"Endothelial","CFLAR","disease_vs_control",3.0428770894425e-06,0.641356634252874,0.761,0.494,0.0699648729175513,"Seurat_LR_cell_level_exploratory"
"Endothelial","CTPS1","disease_vs_control",3.06767406274998e-06,2.53517915937412,0.202,0.026,0.0705350297248103,"Seurat_LR_cell_level_exploratory"
"Endothelial","SMAD1","disease_vs_control",3.09154701368096e-06,-1.17816140740878,0.287,0.474,0.0710839404855664,"Seurat_LR_cell_level_exploratory"
"Endothelial","FAM219A","disease_vs_control",3.1744920330124e-06,-1.074810086966,0.25,0.404,0.0729910953150541,"Seurat_LR_cell_level_exploratory"
