"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Pericyte","SMAD3","disease_vs_control",2.32969319049773e-06,-2.21536142608057,0.212,0.54,0.0535666355291142,"Seurat_LR_cell_level_exploratory"
"Pericyte","GRID1","disease_vs_control",2.65315510186491e-06,-1.76111609989094,0.182,0.54,0.0610039952571798,"Seurat_LR_cell_level_exploratory"
"Pericyte","COL25A1","disease_vs_control",2.81164756194914e-06,-6.73910896710273,0,0.333,0.0646482123918965,"Seurat_LR_cell_level_exploratory"
"Pericyte","VCAN","disease_vs_control",3.1170663807702e-06,3.78760985462137,0.515,0.048,0.0716707072930493,"Seurat_LR_cell_level_exploratory"
"Pericyte","C11orf96","disease_vs_control",4.06681266077818e-06,-3.10832479822038,0.121,0.635,0.0935082235092727,"Seurat_LR_cell_level_exploratory"
"Pericyte","MEF2C","disease_vs_control",4.90527414073426e-06,1.83521408986618,0.818,0.286,0.112786968317903,"Seurat_LR_cell_level_exploratory"
"Pericyte","NPIPB15","disease_vs_control",5.10657510726198e-06,5.86149342047867,0.152,0,0.117415481441275,"Seurat_LR_cell_level_exploratory"
"Pericyte","GLUL","disease_vs_control",5.11800014785161e-06,-4.86931876402586,0.03,0.476,0.117678177399552,"Seurat_LR_cell_level_exploratory"
"Pericyte","COL12A1","disease_vs_control",5.49934978134274e-06,7.59980758494159,0.455,0,0.126446549522414,"Seurat_LR_cell_level_exploratory"
"Pericyte","MTUS1","disease_vs_control",5.68082469959197e-06,-3.44969443383994,0.091,0.508,0.130619202317718,"Seurat_LR_cell_level_exploratory"
"Pericyte","SYTL3","disease_vs_control",5.8136702887602e-06,-6.29951277354853,0,0.365,0.133673720949463,"Seurat_LR_cell_level_exploratory"
"Pericyte","MYO10","disease_vs_control",5.90379637465948e-06,-3.04342077862002,0.091,0.492,0.135745990042545,"Seurat_LR_cell_level_exploratory"
"Pericyte","RP11-323I15.5","disease_vs_control",6.06939738804545e-06,-4.40032975724066,0.03,0.476,0.139553654143329,"Seurat_LR_cell_level_exploratory"
"Pericyte","ATP6AP1L","disease_vs_control",7.40699931660329e-06,6.28950609954958,0.182,0,0.170309135286659,"Seurat_LR_cell_level_exploratory"
"Pericyte","UACA","disease_vs_control",7.76811704117856e-06,1.5418671961298,0.818,0.365,0.178612315127819,"Seurat_LR_cell_level_exploratory"
"Pericyte","TNFRSF25","disease_vs_control",7.81209480269756e-06,5.68005756161887,0.121,0,0.179623495798425,"Seurat_LR_cell_level_exploratory"
"Pericyte","HMCN1","disease_vs_control",8.40605856219443e-06,4.22888354966959,0.455,0.048,0.193280504520536,"Seurat_LR_cell_level_exploratory"
"Pericyte","RP11-248J23.7","disease_vs_control",8.42895240114088e-06,4.62324964907258,0.424,0.016,0.193806902559432,"Seurat_LR_cell_level_exploratory"
"Pericyte","RP11-398K22.12","disease_vs_control",8.76950915206697e-06,4.29547008326482,0.273,0.016,0.201637323933476,"Seurat_LR_cell_level_exploratory"
"Pericyte","HMCN2","disease_vs_control",8.85536167894407e-06,-6.43409995792354,0,0.27,0.203611331083961,"Seurat_LR_cell_level_exploratory"
"Pericyte","NR4A1","disease_vs_control",9.33050913582389e-06,-2.80878269010937,0.152,0.635,0.214536396559999,"Seurat_LR_cell_level_exploratory"
"Pericyte","NRG3","disease_vs_control",1.00247468839073e-05,3.3149883979991,0.333,0.048,0.230499005101681,"Seurat_LR_cell_level_exploratory"
"Pericyte","LINC01091","disease_vs_control",1.03338641811889e-05,5.26146385006674,0.364,0.016,0.237606539118077,"Seurat_LR_cell_level_exploratory"
"Pericyte","VEGFA","disease_vs_control",1.0541819684628e-05,-3.37162437761254,0.061,0.413,0.242388060008652,"Seurat_LR_cell_level_exploratory"
"Pericyte","SLC6A1","disease_vs_control",1.1964925027692e-05,7.36454019152513,0.333,0,0.275109521161721,"Seurat_LR_cell_level_exploratory"
"Pericyte","PLEKHG1","disease_vs_control",1.20524127580947e-05,3.0984324044177,0.394,0.032,0.277121126546871,"Seurat_LR_cell_level_exploratory"
"Pericyte","PCBP3","disease_vs_control",1.27320060083862e-05,-3.31124377292493,0.061,0.429,0.292747014150823,"Seurat_LR_cell_level_exploratory"
"Pericyte","CDH11","disease_vs_control",1.31646601690131e-05,1.96409238158585,0.364,0.063,0.302695031266117,"Seurat_LR_cell_level_exploratory"
"Pericyte","FRMD4A","disease_vs_control",1.41266384461961e-05,0.568682926749935,0.939,0.683,0.324813797793386,"Seurat_LR_cell_level_exploratory"
"Pericyte","SLC7A5","disease_vs_control",1.51361418573214e-05,-5.99797718692548,0,0.286,0.34802530972539,"Seurat_LR_cell_level_exploratory"
"Pericyte","KLF9","disease_vs_control",1.58120728075756e-05,-1.51077963520283,0.303,0.603,0.363566990064586,"Seurat_LR_cell_level_exploratory"
"Pericyte","TMOD1","disease_vs_control",1.69141688935439e-05,-1.80907795128901,0.273,0.603,0.388907485369256,"Seurat_LR_cell_level_exploratory"
"Pericyte","NLGN1","disease_vs_control",1.86151899113874e-05,-3.374359689328,0.091,0.46,0.428019061632532,"Seurat_LR_cell_level_exploratory"
"Pericyte","LMO7","disease_vs_control",1.86566177410892e-05,5.04401026021407,0.364,0.016,0.428971611720863,"Seurat_LR_cell_level_exploratory"
"Pericyte","ITGA1","disease_vs_control",1.97357755311152e-05,1.6553422086019,0.848,0.365,0.453784686786932,"Seurat_LR_cell_level_exploratory"
"Pericyte","MTHFR","disease_vs_control",1.99215019757803e-05,-4.1457232837792,0.03,0.381,0.458055094929117,"Seurat_LR_cell_level_exploratory"
"Pericyte","GABARAPL1","disease_vs_control",2.20080693708913e-05,-6.24419050226434,0,0.302,0.506031539044903,"Seurat_LR_cell_level_exploratory"
"Pericyte","C2CD2","disease_vs_control",2.32053864212851e-05,1.29082151555633,0.667,0.222,0.533561449984608,"Seurat_LR_cell_level_exploratory"
"Pericyte","ASPN","disease_vs_control",2.37859991819676e-05,6.59897299599,0.212,0,0.54691147919098,"Seurat_LR_cell_level_exploratory"
"Pericyte","COL16A1","disease_vs_control",2.41236334704201e-05,6.09711021463904,0.212,0,0.554674704385368,"Seurat_LR_cell_level_exploratory"
"Pericyte","SLC2A3","disease_vs_control",2.41322874889703e-05,-2.59809638615601,0.152,0.556,0.554873686233894,"Seurat_LR_cell_level_exploratory"
"Pericyte","PARP10","disease_vs_control",2.42510349334116e-05,6.18317864043196,0.212,0,0.557604046223933,"Seurat_LR_cell_level_exploratory"
"Pericyte","PCSK5","disease_vs_control",2.48875584803053e-05,-2.39840569731784,0.182,0.603,0.572239632137659,"Seurat_LR_cell_level_exploratory"
"Pericyte","SCN3A","disease_vs_control",2.87564569821066e-05,-7.05641541471409,0,0.413,0.661197215389578,"Seurat_LR_cell_level_exploratory"
"Pericyte","MYO1E","disease_vs_control",2.92846322803891e-05,1.42605094056207,0.788,0.286,0.673341550022987,"Seurat_LR_cell_level_exploratory"
"Pericyte","SPARC","disease_vs_control",3.02489054552488e-05,3.15622434339616,0.576,0.048,0.695513083132537,"Seurat_LR_cell_level_exploratory"
"Pericyte","DNM3OS","disease_vs_control",3.0456418783946e-05,6.66677422391872,0.273,0,0.70028443709927,"Seurat_LR_cell_level_exploratory"
"Pericyte","DYRK1A","disease_vs_control",3.08820288680031e-05,-1.34681501819776,0.364,0.683,0.710070489761995,"Seurat_LR_cell_level_exploratory"
"Pericyte","MYLIP","disease_vs_control",3.13410900381156e-05,4.61301428790728,0.394,0.016,0.720625683246391,"Seurat_LR_cell_level_exploratory"
"Pericyte","RP11-127B20.3","disease_vs_control",3.16814329231879e-05,5.38212168828552,0.091,0,0.728451187202859,"Seurat_LR_cell_level_exploratory"
"Pericyte","RABGAP1","disease_vs_control",3.19685585693687e-05,1.23167830018621,0.939,0.524,0.735053067185495,"Seurat_LR_cell_level_exploratory"
"Pericyte","DUSP6","disease_vs_control",3.37724700746678e-05,6.77994426213588,0.303,0,0.776530404426837,"Seurat_LR_cell_level_exploratory"
"Pericyte","NLRC5","disease_vs_control",3.5388293359316e-05,4.43868022450796,0.424,0.016,0.813683029210753,"Seurat_LR_cell_level_exploratory"
"Pericyte","ENTPD1","disease_vs_control",3.57152011347816e-05,3.51711770009606,0.394,0.016,0.821199619692034,"Seurat_LR_cell_level_exploratory"
"Pericyte","DENR","disease_vs_control",4.17031282253623e-05,6.78378218857637,0.303,0,0.958880027285756,"Seurat_LR_cell_level_exploratory"
"Pericyte","OPTN","disease_vs_control",4.22315432657734e-05,-2.97597311163682,0.061,0.333,0.971029874309929,"Seurat_LR_cell_level_exploratory"
"Pericyte","ABCC9","disease_vs_control",5.44610154241925e-05,-1.5116963742918,0.242,0.556,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RP11-577H5.5","disease_vs_control",5.45251513147477e-05,6.24465462021783,0.182,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RP11-759A24.3","disease_vs_control",5.58529957686432e-05,-1.70325362521415,0.212,0.524,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","PAPOLA","disease_vs_control",6.02384167448651e-05,-3.00706176779552,0.061,0.333,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","DDAH1","disease_vs_control",6.1854852343306e-05,4.83057462373146,0.394,0.016,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","P4HA1","disease_vs_control",7.00485572961702e-05,-1.86200393127535,0.152,0.444,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","PDE1C","disease_vs_control",7.21315463280892e-05,-1.88759544910315,0.182,0.444,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","NEURL1B","disease_vs_control",7.34342142769552e-05,-1.38020451222395,0.394,0.603,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","BROX","disease_vs_control",7.35766894091043e-05,5.75160405315965,0.152,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","NFIL3","disease_vs_control",7.5135878746312e-05,-5.76040800870227,0,0.27,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","PER3","disease_vs_control",8.0342589180995e-05,1.94251322633834,0.545,0.111,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RBPMS","disease_vs_control",8.17496445395815e-05,-0.940719153215949,0.909,0.984,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","ZCCHC17","disease_vs_control",8.54842149830417e-05,6.52533648241994,0.212,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","BCL6","disease_vs_control",8.76065929074946e-05,-2.04628474890874,0.242,0.651,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RP11-444D3.1","disease_vs_control",9.07618932748728e-05,-1.7298049228543,0.424,0.746,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","ADARB1","disease_vs_control",9.32053948314817e-05,-2.24668089511064,0.152,0.492,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","ITGBL1","disease_vs_control",9.41313494161366e-05,3.96630384925285,0.303,0.032,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RP11-64D24.2","disease_vs_control",0.00010059574294533,-3.45986865437739,0.061,0.444,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","MKLN1","disease_vs_control",0.000104051229235157,-1.13796380607332,0.485,0.794,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RABL6","disease_vs_control",0.000105713407940498,5.55117391505011,0.121,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","CRLF1","disease_vs_control",0.000108413276413743,-5.64793043507079,0,0.222,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","FUS","disease_vs_control",0.000109086074917527,1.87088047978331,0.788,0.254,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","SLFN5","disease_vs_control",0.000109628857717929,6.32048543785173,0.182,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","CALM1","disease_vs_control",0.00011100787812071,3.2006744215497,0.242,0.016,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","NTRK3","disease_vs_control",0.000111792575116844,-2.78282822536965,0.121,0.54,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","CAP1","disease_vs_control",0.000111871075824684,6.46612506763801,0.182,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","SNTB2","disease_vs_control",0.000112145116969255,3.43243117954649,0.333,0.032,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","LPCAT3","disease_vs_control",0.000113214625932048,-3.84327078482325,0.03,0.286,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","CH507-528H12.1","disease_vs_control",0.000114166505955034,-2.29414753637885,0.182,0.587,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","ADAMTS9","disease_vs_control",0.000115948545107049,-2.30556188779225,0.212,0.651,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","C9orf106","disease_vs_control",0.000123218805337317,5.52584566894682,0.121,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","DYNC1LI1","disease_vs_control",0.000126873565510159,6.54119420889752,0.242,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","SOX5","disease_vs_control",0.000130236265101113,-1.07564634548709,0.424,0.778,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","SULF1","disease_vs_control",0.00013765842061513,2.0307646733517,0.788,0.206,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RSPH3","disease_vs_control",0.000142548663774988,5.53018765321951,0.121,0,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RLF","disease_vs_control",0.000144487922743976,-1.65432053556407,0.182,0.413,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","MYADM","disease_vs_control",0.000146688151390412,3.11084697783085,0.182,0.016,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RAB1A","disease_vs_control",0.00014677352958097,-1.45578559061682,0.394,0.698,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","EPAS1","disease_vs_control",0.00015850471423345,1.69820221990541,0.818,0.27,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","COL24A1","disease_vs_control",0.000158552558704543,5.3517415349957,0.424,0.016,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RRAGB","disease_vs_control",0.000159890259056317,-2.36849168402136,0.03,0.238,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","RNF213","disease_vs_control",0.000161907150561687,1.26392939137878,0.576,0.286,1,"Seurat_LR_cell_level_exploratory"
"Pericyte","AC007566.10","disease_vs_control",0.000163510784751907,5.70709271380874,0.152,0,1,"Seurat_LR_cell_level_exploratory"
