"variable_feature"
"F13A1"
"HS3ST2"
"STC1"
"IGHD"
"SERPINE1"
"LY6H"
"CEMIP"
"MRC1"
"PKHD1L1"
"AC002465.2"
"CALB1"
"RP11-556G22.2"
"TIMP3"
"CRISPLD2"
"TSHZ2"
"SNTG2"
"VWF"
"RP11-846C15.2"
"ANO2"
"BCL11B"
"IL7R"
"CD163L1"
"FCGBP"
"PDE4D"
"CPM"
"CLSTN2"
"TLL1"
"SKAP1"
"ZNF479"
"IFNA4"
"RP11-90C1.1"
"IGHM"
"BIK"
"THEMIS"
"RBM47"
"LINC01411"
"AOAH"
"CD163"
"THSD7A"
"SLC1A3"
"FGF7"
"RGS6"
"RP11-375B1.1"
"CTC-360P9.1"
"SPP1"
"LINC00929"
"ADAMTS9"
"FLT1"
"NRG3"
"TPO"
"TPRG1"
"MS4A1"
"AC098828.2"
"RPE65"
"MSR1"
"C8orf34"
"EDN1"
"TNC"
"CD36"
"NRXN3"
"BMP6"
"IL24"
"SPINK2"
"RNASET2"
"RP11-421P23.1"
"ODF1"
"KLRF2"
"RP11-28H5.2"
"PSG4"
"RSPH1"
"AL133493.2"
"RP11-208N14.4"
"RP11-593F5.2"
"LINC00629"
"C12orf71"
"RP1-228P16.4"
"RP11-558A11.1"
"RP11-775G23.1"
"LDB2"
"ELN"
"RP11-742B18.1"
"FCRL5"
"RP11-472K22.1"
"NKAIN2"
"SLC16A10"
"SH2D6"
"LINC01455"
"CH507-210P18.4"
"GNLY"
"PDZRN4"
"ITGA8"
"PCDH9"
"GRAP2"
"COL11A1"
"XCL2"
"RP11-451B8.1"
"RP11-447B18.1"
"MNX1-AS1"
"C8orf87"
"RP11-236B18.2"
"LINC01584"
"RP11-433M22.2"
"RP3-428L16.2"
"RP11-347C12.3"
"ERVH48-1"
"PTPRB"
"FMN1"
"FCRL1"
"ITK"
"KCNB2"
"TRAC"
"CD96"
"RP11-379C10.1"
"PDK4"
"CTD-3179P9.1"
"MS4A6A"
"IKZF3"
"CARD11"
"APOD"
"RP11-424D14.1"
"KLRC1"
"RP11-1029J19.5"
"FAM65B"
"ABCA1"
"ST6GALNAC3"
"SULT1E1"
"DOCK4"
"FCRL2"
"CTD-2118P12.1"
"WNT11"
"GATA5"
"SLFN12L"
"FAM155A"
"PLCB1"
"KCNAB1"
"PTPRC"
"ADGRB3"
"CNTN4"
"SDK1"
"SLCO2B1"
"RYR2"
"BTNL9"
"PLCXD3"
"POSTN"
"RHOH"
"CIDEA"
"DOCK8"
"CTSB"
"LINC00330"
"PADI3"
"BMP8B"
"DEPDC1"
"HGFAC"
"RP11-231C18.1"
"CTC-321K16.1"
"MUC3A"
"DBH-AS1"
"KIAA0125"
"KIAA0101"
"IL17REL"
"RP11-101C11.1"
"XXbac-BPG258E24.10"
"RP11-80I3.1"
"LMAN1L"
"AP000254.8"
"AC113610.1"
"ANKRD18B"
"CTD-2532D12.4"
"LINC01312"
"GALNT13"
"AC067959.1"
"CAMK4"
"PPARG"
"BMX"
"RP11-664H17.1"
"RP11-790J24.1"
"RP11-19N8.7"
"NCKAP5"
"RP11-96D24.1"
"IFNG"
"LTF"
"LAMA2"
"MYH6"
"RP11-804F13.1"
"ERBB4"
"ACSM3"
"TBXAS1"
"RP11-254F19.3"
"TNFRSF18"
"C7"
"RP11-553L6.2"
"PIK3R5"
"SLC11A1"
"CNR1"
"SGCG"
"MECOM"
"RASGRP1"
"RP11-146N18.1"
"MYB"
"RP11-761N21.1"
"RP5-1066H13.4"
"XCR1"
"AC008592.4"
