"gene","donor_id","biosample_id","condition2","celltype","n_cells","mean_log_norm_expr","pct_expr"
"CD68","C7","Control disease free carotid tissue","control","Endothelial",156,0,0
"CD68","C7","Control disease free carotid tissue","control","Lymphocyte",10,0,0
"CD68","C7","Control disease free carotid tissue","control","Macrophage",4,0,0
"CD68","C7","Control disease free carotid tissue","control","Pericyte",63,0,0
"CD68","C7","Control disease free carotid tissue","control","Unknown1",39,0,0
"CD68","C7","Control disease free carotid tissue","control","Unknown2",19,0,0
"CD68","C7","Control disease free carotid tissue","control","Vascular Smooth Muscle",153,0.0180590282166715,0.0065359477124183
"LGALS3","751","Symptomatic carotid plaque 1A","disease","Endothelial",47,0.114789203640689,0.0638297872340425
"LGALS3","751","Symptomatic carotid plaque 1A","disease","Fibroblast",6,0.273257483071277,0.166666666666667
"LGALS3","751","Symptomatic carotid plaque 1A","disease","Lymphocyte",31,0.171916863057709,0.0645161290322581
"LGALS3","751","Symptomatic carotid plaque 1A","disease","Macrophage",101,0.153479702177675,0.0693069306930693
"LGALS3","751","Symptomatic carotid plaque 1A","disease","Pericyte",3,0,0
"LGALS3","751","Symptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",1842,0.110695454632081,0.0553745928338762
"LGALS3","751","Symptomatic carotid plaque 1B","disease","Endothelial",50,0.130462518488601,0.08
"LGALS3","751","Symptomatic carotid plaque 1B","disease","Fibroblast",6,0,0
"LGALS3","751","Symptomatic carotid plaque 1B","disease","Lymphocyte",29,0.162630712572479,0.0689655172413793
"LGALS3","751","Symptomatic carotid plaque 1B","disease","Macrophage",102,0.142545513523153,0.0588235294117647
"LGALS3","751","Symptomatic carotid plaque 1B","disease","Pericyte",4,0,0
"LGALS3","751","Symptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",1799,0.111166679763199,0.0572540300166759
"LGALS3","826","Asymptomatic carotid plaque 1A","disease","Endothelial",66,0.207320892669905,0.106060606060606
"LGALS3","826","Asymptomatic carotid plaque 1A","disease","Fibroblast",156,0.0832674776839941,0.0448717948717949
"LGALS3","826","Asymptomatic carotid plaque 1A","disease","Lymphocyte",112,0.2112749210917,0.0982142857142857
"LGALS3","826","Asymptomatic carotid plaque 1A","disease","Macrophage",492,0.645501934427622,0.335365853658537
"LGALS3","826","Asymptomatic carotid plaque 1A","disease","Pericyte",16,0.100830563021012,0.0625
"LGALS3","826","Asymptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",192,0.174394015677277,0.078125
"LGALS3","826","Asymptomatic carotid plaque 1B","disease","Endothelial",25,0.0606150780812083,0.04
"LGALS3","826","Asymptomatic carotid plaque 1B","disease","Fibroblast",81,0.203412742660072,0.111111111111111
"LGALS3","826","Asymptomatic carotid plaque 1B","disease","Lymphocyte",76,0.22429605344292,0.0921052631578947
"LGALS3","826","Asymptomatic carotid plaque 1B","disease","Macrophage",253,0.782502934349078,0.41897233201581
"LGALS3","826","Asymptomatic carotid plaque 1B","disease","Pericyte",10,0,0
"LGALS3","826","Asymptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",106,0.280231665307381,0.113207547169811
"LGALS3","C7","Control disease free carotid tissue","control","Endothelial",156,0.300716942274185,0.153846153846154
"LGALS3","C7","Control disease free carotid tissue","control","Lymphocyte",10,0.276512042763226,0.1
"LGALS3","C7","Control disease free carotid tissue","control","Macrophage",4,0.732538255479741,0.25
"LGALS3","C7","Control disease free carotid tissue","control","Pericyte",63,0.367381895223166,0.19047619047619
"LGALS3","C7","Control disease free carotid tissue","control","Unknown1",39,0.233820530850802,0.128205128205128
"LGALS3","C7","Control disease free carotid tissue","control","Unknown2",19,0.518495824685081,0.263157894736842
"LGALS3","C7","Control disease free carotid tissue","control","Vascular Smooth Muscle",153,0.0806684084922507,0.0392156862745098
"SERPINE2","751","Symptomatic carotid plaque 1A","disease","Endothelial",47,0.0564669942764799,0.0212765957446809
"SERPINE2","751","Symptomatic carotid plaque 1A","disease","Fibroblast",6,0.287374456574511,0.166666666666667
"SERPINE2","751","Symptomatic carotid plaque 1A","disease","Lymphocyte",31,0.0514073324647567,0.032258064516129
"SERPINE2","751","Symptomatic carotid plaque 1A","disease","Macrophage",101,0,0
"SERPINE2","751","Symptomatic carotid plaque 1A","disease","Pericyte",3,0,0
"SERPINE2","751","Symptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",1842,0.0374303815005911,0.0173724212812161
"SERPINE2","751","Symptomatic carotid plaque 1B","disease","Endothelial",50,0.0621930694437197,0.02
"SERPINE2","751","Symptomatic carotid plaque 1B","disease","Fibroblast",6,0.2893474966359,0.166666666666667
"SERPINE2","751","Symptomatic carotid plaque 1B","disease","Lymphocyte",29,0.0567913268565567,0.0344827586206897
"SERPINE2","751","Symptomatic carotid plaque 1B","disease","Macrophage",102,0,0
"SERPINE2","751","Symptomatic carotid plaque 1B","disease","Pericyte",4,0,0
"SERPINE2","751","Symptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",1799,0.0328737711875698,0.0150083379655364
"SERPINE2","826","Asymptomatic carotid plaque 1A","disease","Endothelial",66,0,0
"SERPINE2","826","Asymptomatic carotid plaque 1A","disease","Fibroblast",156,0.751545849424006,0.358974358974359
"SERPINE2","826","Asymptomatic carotid plaque 1A","disease","Lymphocyte",112,0.0811275200529427,0.0357142857142857
"SERPINE2","826","Asymptomatic carotid plaque 1A","disease","Macrophage",492,0.0357484753613036,0.0182926829268293
"SERPINE2","826","Asymptomatic carotid plaque 1A","disease","Pericyte",16,0.0991163238668815,0.0625
"SERPINE2","826","Asymptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",192,0.074002513242418,0.0364583333333333
"SERPINE2","826","Asymptomatic carotid plaque 1B","disease","Endothelial",25,0.0654882452742238,0.04
"SERPINE2","826","Asymptomatic carotid plaque 1B","disease","Fibroblast",81,0.748507362746525,0.37037037037037
"SERPINE2","826","Asymptomatic carotid plaque 1B","disease","Lymphocyte",76,0.0321662204032903,0.0131578947368421
"SERPINE2","826","Asymptomatic carotid plaque 1B","disease","Macrophage",253,0.0311158325993475,0.0197628458498024
"SERPINE2","826","Asymptomatic carotid plaque 1B","disease","Pericyte",10,0.343706509922395,0.2
"SERPINE2","826","Asymptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",106,0.1096537807224,0.0471698113207547
"SERPINE2","C7","Control disease free carotid tissue","control","Endothelial",156,0.0173491344319117,0.00641025641025641
"SERPINE2","C7","Control disease free carotid tissue","control","Lymphocyte",10,0,0
"SERPINE2","C7","Control disease free carotid tissue","control","Macrophage",4,0,0
"SERPINE2","C7","Control disease free carotid tissue","control","Pericyte",63,0,0
"SERPINE2","C7","Control disease free carotid tissue","control","Unknown1",39,0,0
"SERPINE2","C7","Control disease free carotid tissue","control","Unknown2",19,1.16197730862088,0.421052631578947
"SERPINE2","C7","Control disease free carotid tissue","control","Vascular Smooth Muscle",153,0.0330435056615694,0.0130718954248366
"MALAT1","751","Symptomatic carotid plaque 1A","disease","Endothelial",47,3.52886964788417,1
"MALAT1","751","Symptomatic carotid plaque 1A","disease","Fibroblast",6,3.39906063721823,1
"MALAT1","751","Symptomatic carotid plaque 1A","disease","Lymphocyte",31,3.68650658223223,1
"MALAT1","751","Symptomatic carotid plaque 1A","disease","Macrophage",101,3.55706950349993,1
"MALAT1","751","Symptomatic carotid plaque 1A","disease","Pericyte",3,3.47397026309167,1
"MALAT1","751","Symptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",1842,3.57903091722136,1
"MALAT1","751","Symptomatic carotid plaque 1B","disease","Endothelial",50,3.49990698066273,1
"MALAT1","751","Symptomatic carotid plaque 1B","disease","Fibroblast",6,3.41625579161082,1
"MALAT1","751","Symptomatic carotid plaque 1B","disease","Lymphocyte",29,3.67816511693758,1
"MALAT1","751","Symptomatic carotid plaque 1B","disease","Macrophage",102,3.54975280650056,1
"MALAT1","751","Symptomatic carotid plaque 1B","disease","Pericyte",4,3.46059736355256,1
