"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Vascular Smooth Muscle","METAP1D","disease_vs_control",0.420289779404688,-0.23292343875923,0.071,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ADK","disease_vs_control",0.420422857656749,-0.128262678507049,0.338,0.301,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ACLY","disease_vs_control",0.421133250578142,-0.29911709929521,0.066,0.065,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DCAF10","disease_vs_control",0.421147716148477,0.298484317167526,0.236,0.144,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DTWD1","disease_vs_control",0.421355144009748,0.789666562892238,0.093,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SMC5-AS1","disease_vs_control",0.422195197099955,0.703647846849298,0.11,0.072,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CDC42SE2","disease_vs_control",0.422540600320408,0.472595044174589,0.121,0.072,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ABLIM2","disease_vs_control",0.422541567840936,-0.615486205203881,0.051,0.052,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","GNB2L1","disease_vs_control",0.422985927880812,0.633665373832817,0.055,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PPA2","disease_vs_control",0.423210063778285,-0.297731174326037,0.176,0.137,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","GPR173","disease_vs_control",0.423281675321403,0.554226817002035,0.142,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","KDM3B","disease_vs_control",0.423539563941251,0.277486128246813,0.251,0.17,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","FAM76A","disease_vs_control",0.423874642186754,0.536291217469228,0.065,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TOP3A","disease_vs_control",0.424038027825864,0.441237022584639,0.073,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RAF1","disease_vs_control",0.424038944788756,0.225502947878963,0.283,0.17,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","GPRASP1","disease_vs_control",0.424274015427673,-0.245606722083907,0.05,0.059,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","R3HDM1","disease_vs_control",0.424294383640896,0.376969547801462,0.222,0.144,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","WDR59","disease_vs_control",0.424380794368796,-0.234994096173967,0.229,0.183,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PDLIM1","disease_vs_control",0.424698222980068,-0.422607746521567,0.107,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PPM1F","disease_vs_control",0.424722906418958,0.590756935520316,0.052,0.026,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","FOXP1","disease_vs_control",0.424738892137934,-0.0795018691918381,0.726,0.634,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RAB28","disease_vs_control",0.425378861382666,0.340903194133886,0.203,0.124,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","C2CD5","disease_vs_control",0.42581527525667,0.147992207874361,0.203,0.111,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CDKL3","disease_vs_control",0.426125762535498,-0.534274963715275,0.088,0.078,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CTD-2007H13.3","disease_vs_control",0.426195538288386,-0.159424903188982,0.06,0.059,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","FAM172A","disease_vs_control",0.426340745408043,-0.162290533236314,0.387,0.314,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","EIF3A","disease_vs_control",0.426932632174919,-0.394574453724527,0.143,0.124,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","IRAK4","disease_vs_control",0.426945279260711,0.435785360656227,0.059,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PQLC1","disease_vs_control",0.427060899140668,-0.0683836586955148,0.068,0.033,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PPIL4","disease_vs_control",0.427120981027173,0.193313286514777,0.083,0.039,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","GOLGA8A","disease_vs_control",0.427303709475663,-0.349723038923007,0.118,0.111,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ANKRD52","disease_vs_control",0.42760016873908,0.716883898875912,0.052,0.026,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SLC11A2","disease_vs_control",0.427665257494303,-0.179166898367813,0.145,0.131,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","FAM117B","disease_vs_control",0.427845067628906,0.621518539411557,0.088,0.059,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","LARP1","disease_vs_control",0.4279091123485,-0.202984387123127,0.206,0.176,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RYK","disease_vs_control",0.427972973097322,0.274633220191614,0.216,0.137,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PWWP2A","disease_vs_control",0.42808512970287,0.144941854901353,0.162,0.092,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","BCAP29","disease_vs_control",0.428239225775,0.51399646339238,0.145,0.092,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","POM121","disease_vs_control",0.4283651950811,0.437611649246976,0.135,0.085,1,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","OSBPL9","disease_vs_control",0.4285300684168,0.148860013129119,0.506,0.379,1,"Seurat_LR_cell_level_exploratory"
